UserID,Gender,Height,Weight,Bust/Chest,Waist,Hips,Body Shape Index
1,Female,155,67,37,35,38,4
2,Male,185,85,40,30,31,3
3,Male,160,77,44,36,42,4
4,Male,193,74,38,48,49,4
5,Male,150,47,35,39,41,0
6,Female,193,97,37,28,34,0
7,Female,175,70,33,23,23,0
8,Male,193,88,37,48,49,3
9,Female,155,59,41,25,26,0
10,Male,193,110,48,30,34,4
11,Male,196,110,40,32,41,1
12,Male,165,64,41,32,42,3
13,Female,180,92,42,24,26,4
14,Female,180,77,46,24,33,0
15,Female,183,77,46,38,43,2
16,Female,150,45,30,30,30,4
17,Male,173,83,42,31,37,2
18,Female,163,79,29,40,46,3
19,Male,196,85,31,44,44,1
20,Female,165,70,41,41,46,1
21,Male,163,53,37,32,34,3
22,Male,168,71,48,35,37,0
23,Male,196,79,41,42,46,1
24,Male,185,82,33,42,50,1
25,Female,175,87,40,35,36,4
26,Female,150,45,35,36,46,1
27,Male,185,81,43,40,40,3
28,Female,175,90,38,23,28,1
29,Female,163,54,33,33,36,4
30,Female,198,113,47,33,37,2
31,Female,198,117,29,25,25,3
32,Male,173,89,34,35,35,3
33,Female,155,68,29,29,39,4
34,Male,160,76,40,47,49,1
35,Male,152,45,43,36,39,0
36,Female,150,52,41,28,37,1
37,Female,188,101,42,29,33,1
38,Male,190,94,50,43,46,2
39,Male,196,78,38,26,26,3
40,Female,170,61,45,41,48,1
41,Male,196,112,50,31,40,3
42,Male,188,100,35,32,41,1
43,Female,150,58,31,30,32,1
44,Female,180,60,43,30,34,3
45,Female,198,105,45,30,31,4
46,Male,165,51,35,31,33,2
47,Male,185,72,46,46,50,2
48,Male,183,93,31,36,42,3
49,Male,188,89,31,42,46,4
50,Female,152,55,43,35,44,3
51,Male,163,79,40,30,39,4
52,Female,173,58,41,23,25,1
53,Female,165,60,33,27,29,3
54,Female,175,69,44,38,45,4
55,Male,180,72,32,32,36,2
56,Male,168,76,36,44,50,2
57,Female,168,80,34,33,35,3
58,Female,193,86,41,25,27,2
59,Male,193,92,30,39,49,0
60,Female,160,65,36,34,35,3
61,Male,196,101,48,26,32,1
62,Male,150,53,31,41,49,0
63,Female,165,55,34,39,47,3
64,Female,190,81,38,23,24,1
65,Male,183,70,52,34,41,2
66,Male,163,73,41,34,43,0
67,Female,170,66,36,36,41,2
68,Male,190,81,39,42,46,1
69,Female,168,67,33,40,40,4
70,Female,165,56,34,32,34,4
71,Male,165,63,50,28,32,2
