ProductID,Category,Brand,Available_sizes,Height_28,Weight_28,Waist_28,Hip_28,Body_Shape_28,Height_32,Weight_32,Waist_32,Hip_32,Body_Shape_32,Height_36,Weight_36,Waist_36,Hip_36,Body_Shape_36,Height_40,Weight_40,Waist_40,Hip_40,Body_Shape_40
1501,Trousers,Nike,"[28, 40, 32]",164.6,59.4,72.7,87.1,1,165.6,70.8,76.7,91.3,4,172.6,78.4,84.3,96.0,4,178.1,92.4,85.8,101.1,0
1502,Jeans,Lululemon,"[40, 32, 28, 36]",164.2,58.6,71.0,86.8,4,168.9,69.6,75.1,92.3,4,174.6,84.4,81.1,98.2,0,177.4,94.6,88.5,102.0,0
1503,Shorts,H&M,"[40, 36, 32]",162.1,62.0,73.2,85.2,2,169.8,65.8,79.6,92.4,1,172.3,81.5,80.5,97.2,4,176.8,85.5,85.2,101.8,2
1504,Shorts,ASOS,"[32, 28, 40, 36]",164.4,64.9,72.5,88.4,3,167.5,74.7,76.6,93.7,2,174.2,83.6,82.5,96.6,1,177.5,91.2,87.8,104.2,1
1505,Skirts,Pepe Jeans,"[40, 32, 36, 28]",163.2,55.9,73.3,86.4,4,167.8,67.4,77.6,94.9,1,174.7,83.4,83.7,95.0,3,177.7,91.3,88.2,102.9,4
1506,Trousers,Lululemon,"[32, 28, 40]",164.4,59.2,74.9,89.4,1,166.9,73.7,77.3,90.9,3,170.3,84.2,83.1,95.2,0,176.2,85.3,89.2,104.2,1
1507,Jeans,Mango,"[28, 32, 36]",163.0,64.4,71.1,89.5,2,169.8,68.8,77.9,90.3,0,172.4,75.4,82.1,98.5,2,179.9,92.9,86.6,105.0,4
1508,Skirts,ASOS,"[28, 40, 36, 32]",161.1,56.1,73.3,88.6,3,165.7,71.8,79.4,93.3,2,173.4,77.6,80.2,97.4,2,179.5,86.5,88.5,101.5,2
1509,Jeans,ASOS,"[40, 28, 32]",162.9,61.5,74.2,85.9,1,169.1,69.5,79.3,94.4,0,174.2,79.2,81.5,99.2,4,177.0,92.0,85.5,102.4,0
1510,Jeans,ASOS,"[28, 32, 40, 36]",160.9,59.3,74.8,85.4,1,168.3,68.5,79.9,92.8,3,170.8,81.4,84.6,98.8,2,176.3,85.4,86.1,103.5,0
1511,Shorts,Adidas,"[28, 32]",160.7,58.8,73.1,89.1,2,169.0,71.1,77.6,90.4,4,172.8,81.1,81.1,97.9,1,176.5,91.1,88.9,102.6,0
1512,Skirts,Under Armour,"[28, 36, 32, 40]",163.3,57.1,70.7,89.5,2,169.8,70.4,79.6,92.1,3,170.8,77.5,83.1,97.8,4,179.9,90.2,89.5,101.6,1
1513,Shorts,Nike,"[40, 28, 32, 36]",164.7,56.8,70.3,86.8,3,167.5,67.3,77.4,93.3,0,173.8,76.9,84.5,98.7,4,177.0,89.8,85.1,104.1,0
1514,Leggings,Zara,"[40, 36]",162.9,60.2,71.4,86.8,2,166.4,68.4,75.2,91.6,2,171.4,79.4,82.4,98.7,0,179.6,88.7,85.8,104.5,4
1515,Jeans,H&M,"[28, 32, 40, 36]",164.0,58.8,74.6,87.0,4,168.9,65.3,75.7,94.2,1,171.3,77.5,82.2,96.7,3,175.3,89.2,86.1,101.4,0
1516,Skirts,Pepe Jeans,"[28, 32]",160.8,59.9,72.7,89.1,2,169.2,66.9,76.7,91.1,0,173.8,84.7,80.7,95.5,4,178.9,89.8,87.6,101.4,2
1517,Trousers,Levi's,"[40, 32]",163.3,57.0,72.9,88.5,1,168.4,68.4,78.6,91.8,2,174.2,84.7,84.9,98.9,4,178.8,88.0,85.8,102.8,0
1518,Shorts,Under Armour,"[40, 28, 36]",163.7,58.5,73.1,85.6,2,169.2,74.7,75.4,94.6,0,171.7,76.1,80.9,96.1,4,178.3,94.4,89.9,104.1,1
1519,Leggings,Uniqlo,"[40, 28, 36]",160.2,65.0,71.7,88.2,3,168.7,70.3,76.8,92.9,4,172.5,82.1,82.4,99.0,0,175.6,94.7,86.9,102.6,1
1520,Leggings,Pepe Jeans,"[40, 36]",160.5,58.7,70.9,85.0,4,169.8,72.0,79.9,90.0,4,173.5,77.3,80.9,98.1,4,179.9,88.0,85.7,100.3,2
1521,Leggings,H&M,"[36, 32, 40, 28]",163.9,59.1,74.8,88.6,2,167.9,71.7,78.9,91.2,1,173.7,82.2,81.7,96.8,3,176.1,92.8,88.9,101.5,3
1522,Shorts,Under Armour,"[28, 36]",162.2,55.2,73.8,88.8,4,166.9,74.8,77.9,93.8,4,173.9,82.7,84.4,99.3,3,178.5,92.5,87.8,102.5,1
1523,Trousers,Lululemon,"[36, 32]",162.0,58.8,72.6,89.1,2,168.4,70.6,75.3,90.3,3,172.0,75.5,83.2,98.5,4,178.8,93.8,89.6,103.7,3
1524,Skirts,Levi's,"[36, 40]",164.6,62.6,71.9,88.1,4,165.3,70.9,75.1,95.0,1,172.7,82.0,80.0,97.7,0,178.8,85.0,89.7,103.9,2
