ProductID,Category,Brand,Available_sizes,Height_S,Weight_S,Chest/Bust_S,Body_Shape_S,Height_M,Weight_M,Chest/Bust_M,Body_Shape_M,Height_L,Weight_L,Chest/Bust_L,Body_Shape_L,Height_XL,Weight_XL,Chest/Bust_XL,Body_Shape_XL
1,Suits,Zara,"['S', 'M', 'XL']",158.3,46.2,85.8,0,169.9,62.3,96.3,1,178.2,74.1,105.6,4,180.7,83.6,118.6,4
2,Kurtas,Zara,"['L', 'XL', 'M', 'S']",151.5,50.4,82.7,1,164.0,62.9,90.8,4,173.6,66.0,105.8,3,181.5,77.0,117.9,1
3,Sweaters,Ralph Lauren,"['XL', 'M', 'L']",151.6,49.4,88.2,3,164.2,57.9,98.8,0,174.8,74.9,108.6,0,185.5,78.6,119.5,4
4,Jackets,Armani,"['L', 'XL', 'M']",157.9,47.7,80.1,2,161.7,58.9,90.5,3,179.7,68.0,103.1,0,180.6,84.8,112.3,3
5,Suits,H&M,"['M', 'L', 'S', 'XL']",156.2,51.0,85.6,4,161.2,61.3,95.5,3,172.4,65.8,108.2,3,188.8,84.8,116.2,1
6,Ethnic Wear,Global Desi,"['S', 'L']",150.4,53.7,83.4,0,165.8,60.5,97.8,3,177.2,65.1,105.7,0,181.4,77.2,118.9,0
7,Dresses,Ralph Lauren,"['M', 'XL', 'L']",156.2,55.0,83.2,1,163.6,64.6,91.2,1,177.6,69.1,103.0,2,186.7,75.7,116.2,1
8,Suits,H&M,"['L', 'S', 'M']",153.1,51.1,86.4,1,160.8,56.9,94.0,0,172.2,71.3,103.0,3,183.9,77.7,119.8,0
9,Sweaters,Adidas,"['L', 'S', 'XL', 'M']",153.7,49.0,88.5,1,168.9,58.5,90.4,0,175.0,68.3,103.6,2,184.0,79.0,111.0,2
10,Jackets,Aurelia,"['XL', 'S']",157.7,47.3,86.1,4,162.0,60.7,96.8,3,173.5,73.4,106.2,3,187.6,79.4,114.4,1
11,Kurtas,Zara,"['M', 'XL', 'S', 'L']",158.1,47.6,88.5,4,167.5,63.7,93.1,2,177.7,72.2,102.3,2,185.0,81.2,119.8,1
12,Sweaters,Adidas,"['M', 'XL', 'L']",154.0,49.8,82.6,0,162.8,64.3,95.6,3,176.2,68.5,109.2,2,187.3,84.0,113.8,4
13,Sweaters,FabIndia,"['S', 'XL', 'M']",159.5,48.7,85.2,4,168.1,58.4,99.3,1,174.8,72.3,105.7,0,185.1,78.3,117.4,4
14,Dresses,Nike,"['M', 'S', 'XL', 'L']",154.1,54.1,84.5,0,161.2,55.7,93.1,3,177.8,74.4,109.2,3,185.9,83.5,110.3,3
15,Hoodies,Zara,"['XL', 'M', 'L', 'S']",157.7,48.7,80.1,4,167.6,59.2,90.5,3,172.4,65.9,100.5,4,187.6,75.9,116.9,0
